id;cnae3;dcnae_agr3;provincia;anio;gradvinc;noprotra;noprovin;volneg;fact;num_bancos;pmc;target
616016;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;28;2016;1;4;4;86062.25;;;;1
243724;411;PROMOCION INMOBILIARIA;28;1992;5;0;0;0;;;;0
637325;960;OTROS SERVICIOS PERSONALES;33;2018;5;0;0;0;;;;0
385667;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;35;2004;1;4;4;174966.92;;;;0
605174;466;COMERCIO AL POR MAYOR DE OTRA MAQUINARIA. EQUIPOS Y SUMINISTROS;50;2013;5;0;0;0;;;75.73;0
304689;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;28;2011;1;3;1;73566.37;;;32.37;0
254257;412;CONSTRUCCION DE EDIFICIOS;03;2000;5;0;0;0;;;;0
597996;821;ACTIVIDADES ADMINISTRATIVAS Y AUXILIARES DE OFICINA;46;2014;5;0;0;0;;;;0
413925;467;OTRO COMERCIO AL POR MAYOR ESPECIALIZADO;48;2010;4;1;0;1462.62;5794.92;1;63.61;0
14375;581;EDICION DE LIBROS. PERIODICOS Y OTRAS ACTIVIDADES EDITORIALES;39;1984;5;0;0;0;;;;0
871558;692;ACTIVIDADES DE CONTABILIDAD. TENEDURIA DE LIBROS. AUDITORIA Y ASESORIA FISCAL;36;2003;5;0;0;0;;;49.88;0
131309;429;CONSTRUCCION DE OTROS PROYECTOS DE INGENIERIA CIVIL;44;1990;5;0;1;0;;;;0
120439;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;29;1993;5;0;0;0;;;;0
252517;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;41;1994;5;0;0;-217.94;;;39.79;0
521510;731;PUBLICIDAD;33;2001;1;4;3;5089.99;;;129.36;0
139428;310;FABRICACION DE MUEBLES;46;1995;4;1;0;0;;;;0
85279;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;08;1998;5;0;0;0;;;;0
91038;412;CONSTRUCCION DE EDIFICIOS;47;1997;5;0;1;0;;;;0
692161;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;08;2016;2;2;0;41939.25;;;;0
119639;433;ACABADO DE EDIFICIOS;27;1991;5;0;0;0;;;;0
463021;741;ACTIVIDADES DE DISEÑO ESPECIALIZADO;28;2008;2;3;0;535990.19;;;71.66;0
162080;683;ACTIVIDADES INMOBILIARIAS POR CUENTA DE TERCEROS;35;2000;5;0;0;0;;;;0
557421;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;08;2003;5;0;0;0;;;;0
879534;620;PROGRAMACION. CONSULTORIA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMATICA;07;2021;5;0;0;0;;;;1
880201;472;COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS. BEBIDAS Y TABACO EN ESTABLECIMIENTOS ESPECIALIZADOS;41;2018;4;0;0;1255.15;;;;1
7261;521;DEPOSITO Y ALMACENAMIENTO;38;1963;5;0;0;0;;;;0
667029;960;OTROS SERVICIOS PERSONALES;28;2014;5;0;0;0;;;;0
757865;879;OTRAS ACTIVIDADES DE ASISTENCIA EN ESTABLECIMIENTOS RESIDENCIALES;28;2020;2;4;0;1604.09;;;;0
3382;331;REPARACION DE PRODUCTOS METALICOS. MAUINARIA Y EQUIPO;17;1988;1;8;3;660402.34;31764.05;1;22.44;1
801101;791;ACTIVIDADES DE AGENCIAS DE VIAJES Y OPERADORES TURISTICOS;03;1997;1;4;4;43701.3;56188.62;7;;1
746107;960;OTROS SERVICIOS PERSONALES;28;2016;5;0;0;0;;;;0
807145;237;CORTE. TALLADO Y ACABADO DE LA PIEDRA;08;1990;1;4;3;11371.95;530.16;1;11.68;1
285889;681;COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA;08;2010;5;0;0;0;;;;0
247547;749;OTRAS ACTIVIDADES PROFESIONALES. CIENTIFICAS Y TECNICAS N.C.O.P.;08;1995;5;0;0;0;;;;0
492021;259;FABRICACION DE OTROS PRODUCTOS METALICOS;28;1982;4;0;1;15661.11;;;;0
776750;431;DEMOLICION Y PREPARACION DE TERRENOS;17;1995;4;1;0;1179.05;;;135.63;0
865394;452;MANTENIMIENTO Y REPARACION DE VEHICULOS DE MOTOR;43;1990;5;0;0;0;2188.05;1;;0
353027;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;15;2011;5;0;0;0;;;;0
462050;662;ACTIVIDADES AUXILIARES A SEGUROS Y FONDOS DE PENSIONES;08;2011;4;0;1;1745808.06;;;123.6;0
848660;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;27;2003;2;2;0;116114.81;;;;0
327833;274;FABRICACION DE LAMPARAS Y APARATOS ELECTRICOS DE ILUMINACION;47;1996;4;1;0;8.29;;;;0
462026;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;08;2006;5;0;0;0;;;;0
275229;464;COMERCIO AL POR MAYOR DE PRODUCTOS DE USO DOMESTICO;37;2008;5;0;0;0;;;;0
307023;466;COMERCIO AL POR MAYOR DE OTRA MAQUINARIA. EQUIPOS Y SUMINISTROS;46;2005;4;1;0;486.87;632.95;1;65.3;1
870037;011;CULTIVOS NO PERENNES;45;2017;2;2;0;9340.4;;;;0
26922;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;08;1986;2;2;0;2146.99;;;0;0
19602;620;PROGRAMACION. CONSULTORIA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMATICA;38;1987;4;1;0;1264.86;;;98.25;0
11420;477;COMERCIO AL POR MENOR DE OTROS ARTICULOS EN ESTABLECIMIENTOS ESPECIALIZADOS;28;1988;4;1;0;0;61702.5;1;2;0
684066;432;INSTALACIONES ELECTRICAS. DE FONTANERIA Y OTRAS INSTALACIONES EN OBRAS DE CONSTRUCCION;28;2019;1;3;3;21029.91;241.66;1;0.27;1
8250;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;08;1965;2;2;0;1452.47;282.5;1;31.51;0
159068;466;COMERCIO AL POR MAYOR DE OTRA MAQUINARIA. EQUIPOS Y SUMINISTROS;08;1988;4;1;2;173608.51;;;173.17;0
214044;433;ACABADO DE EDIFICIOS;28;2001;5;0;0;0;;;0;0
474728;466;COMERCIO AL POR MAYOR DE OTRA MAQUINARIA. EQUIPOS Y SUMINISTROS;13;2017;5;0;0;0;;;;0
798831;014;PRODUCCION GANADERA;47;1999;4;0;1;140907.49;;;;0
